country,country_id_d,geodistance,log_all_trade_new_2021,exp_export_2021
Afghanistan,AFG,68.49019888,16.83108737585916,20400855.125634216
Angola,AGO,70.2178624,18.548860034674238,113675679.43737929
Albania,ALB,76.40687332,14.12462037756361,1362211.9598609935
Andorra,AND,77.1272451,13.34232982322886,623017.460105788
United Arab Emirates,ARE,51.77478785,21.92783643041131,3335326559.501667
Argentina,ARG,74.44344245,18.83539772456298,151394220.5054523
Armenia,ARM,75.96309358,13.553707184464793,769662.3448436633
Australia,AUS,35.50965971,23.181869155457658,11688475057.460642
Austria,AUT,61.12895811,19.0195964259829,182014411.50196385
Azerbaijan,AZE,71.24242244,17.061858379845507,25696320.793869805
Burundi,BDI,75.20324105,11.075645023339,64579.029952832
Belgium,BEL,63.13113332,22.23941446218906,4554649709.0572815
Benin,BEN,69.039516,15.562655941028368,5738198.914114943
Burkina Faso,BFA,71.04015932,14.968757564312314,3168464.2486429894
Bangladesh,BGD,70.2162143,21.72552481152376,2724429298.879102
Bulgaria,BGR,59.713553,17.83628779290786,55744415.50135659
Bahrain,BHR,51.64222137,18.544389879072998,113168665.52203901
Bahamas,BHS,44.46790386,20.365771718777836,699426812.8412377
Bosnia and Herzegovina,BIH,73.35173516,13.532279763377522,753345.8996386706
Belarus,BLR,71.04179817,14.170527946166079,1426205.4532141103
Belize,BLZ,43.81919176,15.492108336309043,5347332.178673855
Bolivia,BOL,72.11909907,15.245231888828116,4177534.8796656467
Brazil,BRA,74.18657902,20.960732614991176,1268032869.55972
Barbados,BRB,45.13401109,16.355283086780037,12676787.03908053
Brunei,BRN,40.68105112,20.636311193317365,916718673.722455
Bhutan,BTN,72.07587868,16.0505406031256,9346762.67297035
Central African Republic,CAF,70.83134653,14.002318508926166,1205395.7677215657
Canada,CAN,34.94383395,20.837711135801765,1121251305.656564
Switzerland,CHE,62.57766143,21.432128737924373,2031679723.6468694
Chile,CHL,55.98383468,18.52726903632848,111247614.5271871
China,CHN,25.62033132,24.617504406493236,49118638692.837814
Cameroon,CMR,42.78462539,17.069019262657267,25880989.54227788
Colombia,COL,72.18878842,18.30669315490616,89226902.97233899
Comoros,COM,67.74709176,15.102311782228826,3621184.6521028606
Cape Verde,CPV,72.92102531,13.218698220577988,550563.8536839074
Costa Rica,CRI,57.47183138,17.77692653256415,52531656.803101696
Cuba,CUB,76.64463165,14.14257925219098,1386896.7457075338
Cyprus,CYP,59.46592994,19.824542496388247,407089042.2021893
Czech Republic,CZE,63.26643509,19.96000146632067,466142279.50755787
Germany,DEU.2,61.6044767,22.573453735573654,6361014636.236232
Djibouti,DJI,69.21627131,16.858490167703994,20967625.592834692
Dominica,DMA,44.76582348,15.372109820173552,4742665.228648516
Denmark,DNK,64.78533451,19.206172364680814,219348503.84163448
Dominican Republic,DOM,70.68264038,16.207101573121328,10930871.297473263
Algeria,DZA,70.91882395,18.016114675112313,66726629.56833686
Ecuador,ECU,70.81457045,17.90528483462284,59726408.53796275
Egypt,EGY,58.09757621,19.538257371714437,305743591.2973319
Spain,ESP,62.20989071,19.97961529922755,475375368.4228282
Estonia,EST,63.90425216,16.510662724170903,14807771.824329872
Ethiopia,ETH.2,58.35008649,18.25125438050226,84414891.24052937
Finland,FIN,62.4999291,18.39864323773025,97820354.56437181
Fiji,FJI,41.92823111,19.388014431336057,263092024.33003893
France,FRA,64.45594859,22.062255008922538,3815185059.6078086
Gabon,GAB,69.94965061,17.340922861623156,33967775.76771315
United Kingdom,GBR,37.17296988,22.136197550686507,4107981192.2789598
Georgia,GEO,77.31776063,16.939470840479743,22736243.53025446
Ghana,GHA,36.31543248,18.283116754450894,87147858.27328654
Guinea,GIN,69.77194156,16.661552923070822,17219498.32166986
Gambia,GMB,39.74864414,14.342273042813943,1693440.8836123706
Guinea-Bissau,GNB,69.95422754,11.927564802797177,151382.46629306197
Greece,GRC,61.47693194,20.49979571316086,799738784.6781157
Grenada,GRD,45.11077416,13.348872717190998,627107.1619367115
Guatemala,GTM,72.16175874,16.5579048732936,15524110.249086577
Guyana,GUY,42.41418016,16.022503236686433,9088343.685062166
Honduras,HND,71.66283093,15.756902176576581,6968441.639299944
Croatia,HRV,61.29133134,16.742437480728825,18670167.381238163
Haiti,HTI,71.84419852,13.986644519715536,1186649.7040470163
Hungary,HUN,58.67911072,19.649340832210942,341664846.0467928
Indonesia,IDN.2,41.55525642,24.05092919848508,27873136110.0832
India,IND,23.4739693,23.104212868045334,10815140289.77943
Ireland,IRL,32.5896099,19.97583587551864,473582114.35282964
Iran,IRN,75.45242921,18.094440868081602,72163206.45486902
Iceland,ISL,62.49893645,13.411307058100824,667508.2696047841
Israel,ISR,57.82223112,20.387585944566194,714851898.7347264
Italy,ITA,62.52037349,20.476806396930563,781563061.0795048
Jamaica,JAM,45.4971399,16.975788390354133,23577145.513866756
Jordan,JOR,35.82889469,17.93424849630286,61481599.710012265
Japan,JPN,60.54908969,23.593999041736375,17649954487.956783
Kazakhstan,KAZ,70.13700361,16.890833688300916,21656878.775531
Kenya,KEN,42.51927725,18.486507427281992,106804159.17112978
Kyrgyzstan,KGZ,69.75161268,14.491305743090956,1965595.3668933366
Cambodia,KHM,56.20917982,20.660858386250993,939500008.8624905
Kiribati,KIR,45.17188078,15.152079131611671,3805961.197165513
South Korea,KOR,47.87959568,23.519537098231137,16383443157.077185
Kuwait,KWT,35.62879749,18.832402394952226,150941423.39071912
Laos,LAO,55.10860237,17.489050723871514,39391110.37738323
Lebanon,LBN,57.47471997,17.40438988259825,36193492.03510612
Liberia,LBR,44.64386105,21.739782818508647,2763552477.348814
Libya,LBY,68.77964406,16.900859516373423,21875099.010093737
Sri Lanka,LKA,71.96288764,21.009359977858626,1331217771.4088676
Latvia,LVA,62.85583854,16.83722755255824,20526505.343418304
Morocco,MAR,69.06588504,18.776403852213914,142721231.0249575
Moldova,MDA,76.26006349,15.015719610632729,3320811.074593449
Madagascar,MDG,71.13889872,16.90920591318606,22058441.32627274
Maldives,MDV,68.30634797,19.29643618753368,240068819.35957736
Mexico,MEX,53.33225647,20.99199641721654,1308302611.0232766
Mali,MLI,68.67841477,14.763336424910952,2580094.089189543
Malta,MLT,30.55610433,20.849953252333176,1135062159.3566537
Myanmar,MMR,53.37353061,21.73743211089709,2757063802.9814215
Mongolia,MNG,72.031251,18.22759364140072,82441016.27828965
Mozambique,MOZ,69.91535388,17.98138506434427,64449018.8847826
Mauritania,MRT,69.17948783,15.141695993167115,3766647.826422122
Mauritius,MUS,42.55489355,18.24844884415681,84178394.10084026
Malawi,MWI,42.39389047,13.214650951536045,548340.0767904947
Malaysia,MYS.2,25.98492826,24.38871233127972,39073578400.21737
Namibia,NAM,43.16129259,16.422002261341284,13551424.939414298
Niger,NER,68.63481784,14.772361907250843,2603486.0860629673
Nigeria,NGA,40.59053952,19.34932002970313,253106278.01778656
Nicaragua,NIC,76.26163025,13.906501322202406,1095258.8896614637
Netherlands,NLD,63.31030928,22.843617673928794,8334069205.674336
Norway,NOR,63.20421124,20.24166913289941,617796166.22351
Nepal,NPL,71.52211428,18.574076594153034,116578636.43832314
New Zealand,NZL,32.88099975,21.373496151076584,1915982055.9421878
Oman,OMN,52.43586967,19.150299940051262,207429055.93199113
Pakistan,PAK.2,42.78355285,20.732366434172313,1009142133.5670574
Panama,PAN,54.33598468,22.38882700418562,5288640228.833567
Peru,PER,55.17233676,18.02008777120177,66992268.23387273
Philippines,PHL,22.434407,22.778777567398762,7810833891.667007
Papua New Guinea,PNG,44.0148931,20.122623335932865,548459137.3141277
Poland,POL,59.38290097,19.634790608402756,336729538.05778176
Portugal,PRT,62.48248287,19.334879380438405,249477522.87952578
Paraguay,PRY,70.53038148,15.696218357336393,6558145.070792435
Qatar,QAT,52.47373702,20.306791732586916,659367587.3203621
Romania,ROU,61.47314738,17.871910916142166,57765999.47270825
Russia,RUS,72.32817128,20.093704910506922,532825699.3307915
Rwanda,RWA,42.11852883,13.851425013331722,1036567.1699404084
Saudi Arabia,SAU,52.09232029,20.759395268034954,1036790030.669194
Senegal,SEN,71.35770973,16.47618107497575,14305878.218193837
Solomon Islands,SLB,57.94201335,17.504604419111264,40008577.20079535
Sierra Leone,SLE,42.31808109,15.129388358342228,3720573.4155753176
El Salvador,SLV,70.0492848,15.651419667058502,6270832.425650608
Somalia,SOM,55.51884143,14.436208196986234,1860225.3550628948
Suriname,SUR,72.99345809,14.572776952084222,2132438.998015079
Slovakia,SVK,62.44353906,16.466325718052445,14165581.156624038
Slovenia,SVN,61.14970415,17.455570198571817,38094108.613431446
Sweden,SWE,62.66134565,19.266493495403573,232987065.10159945
Seychelles,SYC,42.74953537,17.636497258525598,45649228.22572781
Syria,SYR,76.90509684,15.988255874369703,8782361.336376566
Chad,TCD,70.22371266,13.540384330623136,759476.2505064573
Togo,TGO,70.18740115,18.276656388846916,86586665.95286018
Thailand,THA,52.50270529,23.406890196652107,14638050830.933508
Tajikistan,TJK,70.23661815,12.662146353703731,315573.3284297403
Turkmenistan,TKM,71.21951091,15.148752379537745,3793320.7453421685
Tonga,TON,60.42912833,15.49774516901537,5377559.308190278
Trinidad and Tobago,TTO,44.8192198,16.875374457729073,21324654.67400002
Tunisia,TUN,71.679001,16.768960539066583,19171982.741467778
Turkey,TUR,54.07525238,20.194253275863804,589186468.1822648
Tanzania,TZA,55.00522484,17.77310581395774,52331331.06236545
Uganda,UGA,43.01866727,15.373695747038674,4750192.716291611
Ukraine,UKR,77.21460726,16.835721323961312,20495611.00688255
Uruguay,URY,76.31630514,16.5681338308763,15683720.646638602
United States of America,USA,33.27218329,24.18682986824771,31930575529.854053
Uzbekistan,UZB,70.02746188,16.230733466757595,11192264.933781806
Venezuela,VEN,76.80199473,15.11161030616787,3655013.3590561915
Vietnam,VNM.2,56.25874442,23.26621267511393,12717091017.534054
Vanuatu,VUT,45.11432494,17.25417108137321,31145211.93319067
Samoa,WSM,45.656378,17.548248308802457,41793371.51826734
Yemen,YEM.2,71.356938,16.5349270686463,15171467.272722658
South Africa,ZAF,43.81357687,20.020069516525933,495000592.0168733
Zambia,ZMB,42.13134626,15.133729874364438,3736761.4595699916
Zimbabwe,ZWE,42.09955155,14.913822931116345,2999100.38836237
