Transfers of major conventional arms from All countries  to Singapore  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:35 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Singapore,United States,1985,?,3,?,TPQ-36 Firefinder,artillery locating radar,3,,1986,New,Part of $31 m deal,3,9,9
Singapore,Israel,2014,?,2,?,EL/M-2084,air search radar,2,,2015; 2016,New,Singaporean designation Safari,12.5,25,25
Singapore,United Kingdom,2014,,6,,air refuel system,air refuel system,6,,2018; 2019; 2020,New,For 6 A-330 MRTT tanker/transport aircraft from France,10,60,60
Singapore,United States,2014,,100,,AIM-120C AMRAAM,long-range air-to-air missile,100,,2016; 2017,New,AIM-120C-7 version,0.6,60,60
Singapore,United States,2008,?,200,,AIM-120C AMRAAM,long-range air-to-air missile,200,,2013; 2014; 2015; 2016,New,AIM-120C-5 and AIM-120C-7 versions,0.6,120,120
Singapore,United States,2009,,450,?,vehicle engine,vehicle engine,450,,2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018,New,Caterpillar C-9 (450hp) diesel engine; for AV-81 Terrex (Terrex-1) APC/IFV produced in Singapore,0.08,36,36
Singapore,United States,1970,,12,?,M-60 AVLB,armoured bridgelayer,12,,1970,New,$2.1 m deal,1,12,12
Singapore,Israel,1997,?,600,?,Python-4,short-range air-to-air missile,600,,1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004,New,For F-5S and F-16 combat aircraft,0.17,102,102
Singapore,United States,1993,,1,,TPS-77,air search radar,1,,1997,New,AN/FPS-117 version,11,11,11
Singapore,Bangladesh,1984,,2,,Bell-205A,helicopter,2,,1984,Second hand,Second-hand (modernized in Singapore before delivery); AB-205 version,0.88,1.76,1.76
Singapore,France,1970,?,4,,SA-316B Alouette-3,light helicopter,4,,1970,New,Incl for SAR,0.9,3.6,3.6
Singapore,Netherlands,1970,?,6,,WM-20,fire-control radar,6,,1972; 1974; 1975; 1976,New,For 6 TNC-45 (Sea Wolf) FAC from FRG; WM-28 version,6,36,36
Singapore,Netherlands,1968,?,3,,WM-20,fire-control radar,3,,1971,New,For 3 Type-B (Sovereignity) patrol craft; WM-26 version,6,18,18
Singapore,United States,1976,,5,,LST-1,landing ship,5,,1976,Second hand,Second-hand; Singaporean designation Endurance,9.45,47.24,47.24
Singapore,United Kingdom,1981,,6,,Blindfire,fire control radar,6,,1982; 1983,New,Part of $60 m deal; for use with 12 Rapier SAM systems,2.5,15,15
Singapore,United Kingdom,1995,,18,,CET,armoured engineer vehicle,18,,1996; 1997; 1998,New,,0.55,9.9,9.9
Singapore,Israel,1986,?,6,,EL/M-2221 STGR,fire-control radar,6,,1990; 1991,New,For 6 MGB-62 (Victory) corvettes from FRG; for use with Barak SAM,4.75,28.5,28.5
Singapore,Netherlands,1991,?,4,,WM-20,fire-control radar,4,,1995,Second hand but modernized,Second-hand; probably modernized before delivery; for 4 Landsort MCM ships from Sweden; WM-20 version,3.96,15.84,15.84
Singapore,Israel,1992,,6,,EL/M-2221 STGR,fire-control radar,6,,1996; 1997,New,For 6 MGB-62 (Victory) corvettes from FRG; for use with Barak SAM,4.75,28.5,28.5
Singapore,Israel,1993,?,12,,EL/M-2228,air search radar,12,,1996; 1997; 1998,New,For 12 Fearless patrol craft/FAC produced in Singapore; EL/M-2228X version,4.75,57,57
Singapore,Switzerland,1973,?,8,?,Super-Fledermaus,fire-control radar,8,,1974,New,For use with L/70 40mm anto-aircraft guns,3.5,28,28
Singapore,United States,1996,,24,,Harpoon Block-1,anti-ship missile,24,,1997; 1998,New,$39 m deal; AGM-84 version for Fokker-50 ASW aircraft,0.9,21.6,21.6
