Transfers of major conventional arms from Singapore   to All countries . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:41 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Bangladesh,Singapore,1983,,2,,PB-46,patrol boat,2,,1985,New,Bangladeshi designation Meghna,12.95,25.9,25.9
Belgium,Singapore,1997,,2,,A-310,transport aircraft,2,,1997; 1998,Second hand,Second-hand; $36 m deal; A310-222 version,23.2,46.4,46.4
Brazil,Singapore,1987,,4,,Grajau,patrol boat,4,,1993; 1994; 1997,New,,10.6,42.4,42.4
Brazil,Singapore,1996,,2,,Grajau,patrol boat,2,,1999; 2000,New,,10.6,21.2,21.2
Brunei,Singapore,1976,,3,,Waspada,missile boat,3,,1978; 1979,New,,26.6,79.8,79.8
Brunei,Singapore,2023,,2,,Fearless,patrol boat,2,,2023,Second hand,Second-hand; aid; armament removed before delivery,5.6,11.2,11.2
Chad,Singapore,2008,?,6,,AS-350/AS-550 Fennec,light helicopter,6,,2009; 2010,Second hand,Second-hand,0.36,2.16,2.16
Ghana,Singapore,2020,?,4,,Flex Fighter,patrol boat/transport craft,4,,2022,New,,9,36,36
India,Singapore,1986,,6,,Tara Bai,patrol boat,6,,1987; 1989; 1990,New,SGD30 m deal; incl 4 produced in India; for coast guard,9.6,57.6,57.6
Indonesia,Singapore,2001,?,19,,SF-260,(armed) trainer aircraft,19,,2002,Second hand,Second-hand; incl SF-260WS armed version,0.1,1.82,1.82
Indonesia,Singapore,1996,?,5,?,FH-88 155mm,towed gun,5,,1997,New,Possibly second-hand,1,5,5
Indonesia,Singapore,2002,,1,,Jupiter,transport craft,1,,2002,Second hand,Second-hand; for use as patrol craft; Indonesian designation Cucut,1.8,1.8,1.8
Kuwait,Singapore,1993,?,2,,Al Tahaddy,landing craft,2,,1994,New,$9.9 m deal; for coast guard; also for use as supply ship,4.3,8.6,8.6
Kuwait,Singapore,1978,,3,,LC-32m,landing craft,3,,1979,New,Kuwaiti designation Al Jahra,6.1,18.3,18.3
Malaysia,Singapore,1978,,7,,SA-316B Alouette-3,light helicopter,7,,1978,Second hand,Second-hand,0.36,2.52,2.52
Malaysia,Singapore,1969,?,1,,Duyong,support ship,1,,1971,New,For use as diving tender and for torpedo recovery,1.54,1.54,1.54
Nigeria,Singapore,2007,,2,,FPB-38,patrol boat,2,,2009,New,From Malaysian production line; Sea Eagle version,14.7,29.4,29.4
Oman,Singapore,1980,?,1,,Saba Al Bahr,landing craft,1,,1981,New,,5,5,5
Oman,Singapore,1982,,2,,Saba Al Bahr,landing craft,2,,1983,New,,5,10,10
Oman,Singapore,2012,,4,,Fearless-75,patrol ship,4,,2015; 2016,New,USD700m 'Project Al-Ofouq',35,140,140
Papua New Guinea,Singapore,1995,?,3,,Standard 120mm,mortar,3,,1996,New,,0.25,0.75,0.75
Papua New Guinea,Singapore,1996,,3,,Vosper Type-A/B,patrol boat,3,,1997,Second hand,Second-hand; Papua New Guinean designation Aitape,2.36,7.08,7.08
Philippines,Singapore,2003,,4,,Bell-205A-1,helicopter,4,,2004,Second hand but modernized,Second-hand but modernized before delivery; part of $12 m deal,1.73,6.92,6.92
Philippines,Singapore,1973,?,2,,Bataan,patrol boat,2,,1975,New,,8.4,16.8,16.8
Sri Lanka,Singapore,1986,,2,,Hansaya,transport craft,2,,1987,New,,10,20,20
Sri Lanka,Singapore,1990,,2,,LC-33m,landing craft,2,,1991; 1992,New,Sri Lankan designation Kandula,3,6,6
Sri Lanka,Singapore,2000,?,9,,Standard 120mm,mortar,9,,2000,Second hand,Second-hand; designation uncertain (reported as '120mm mortar'),0.1,0.9,0.9
Sri Lanka,Singapore,1984,,3,,Abheetha,cargo ship,3,,1984,Second hand,Second-hand,6,18,18
Sri Lanka,Singapore,1985,,2,,LC-33m,landing craft,2,,1987,New,Sri Lankese designation Kandula,3,6,6
Sri Lanka,Singapore,1984,,3,,Mahawele,support ship,3,,1984,Second hand,Second-hand,6,18,18
Sweden,Singapore,1988,?,1,,Smit Manila,cargo ship,1,,1989,Second hand but modernized,Second-hand but modernized before delivery to depot ship; Swedish designation Uto,13.2,13.2,13.2
Taiwan,Singapore,1985,?,8,,Ning Hai,patrol boat,8,,1987; 1988; 1989; 1990,New,Produced under licence in Taiwan,12.5,100,100
Taiwan,Singapore,1982,,20,?,RBS-70,portable SAM,20,,1984,New,Illegally transferred via Unicorn International in Singapore,0.08,1.6,1.6
Thailand,Singapore,2008,,1,,Endurance,amphibious assault ship,1,,2012,New,SGD200 m ($132 m) deal,75,75,75
Thailand,Singapore,2010,?,15,?,LG1 105mm,towed gun,15,,2011,Second hand,Second-hand (but possibly modernized before delivery); designation uncertain (reported as 'refurbished 105mm artillery systems').,0.24,3.6,3.6
